textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
43,federer overcomes a ragged start,0.119776771,0.033828175,0.178995444,0.358854881,0.132202664,0.176342066
44,investigation of child porn site hits nations,0.150623535,0.096174622,0.188804184,0.282815351,0.144261736,0.137320572
45,bangladesh ends curfew amid unrest,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
46,sarkozy comfort zone offers a royal opportunity,0.134363774,0.054944931,0.207455556,0.289425308,0.178177835,0.135632596
47,sick hearts switch on a fetal gene,0.128906023,0.034304571,0.24108986,0.307222946,0.146902836,0.141573763
48,chinese president arrives in mozambique african tour nearly over,0.045771753,0.050734462,0.146408188,0.365116541,0.161094515,0.230874541
49,homemade bombs kill on indian train,0.144500612,0.043688601,0.252405712,0.176371272,0.248104099,0.134929703
50,france rejects rwandan investigators,0.152529505,0.047018386,0.225623596,0.188827335,0.236669968,0.149331211
51,at libby trial russert of nbc gives and gets,0.072001185,0.002486834,0.183722523,0.35404931,0.222064601,0.165675548
52,rare optimism as north korea talks reach crossroads,0.114377182,0.012540003,0.245007023,0.299699339,0.14888558,0.179490872
53,for women nothing s like the smell of men s sweat,0,0.1882,0,0.1529,0,0.6588
54,reports harvard set to name first female president,0.092387363,0.001746584,0.131311822,0.507976728,0.07521308,0.191364423
55,justin timberlake cameron diaz announce split,0.126200186,0.030032178,0.184289573,0.228511266,0.269021943,0.161944855
56,hastert sorry for scandal but not quitting,0.051927413,0.035407888,0.111198276,0.48291008,0.167263659,0.151292684
57,world s oldest newspaper now exists only online,0.097257515,0,0.190324179,0.421699815,0.141365308,0.149353184
58,houston she s got some problems,0.119340779,0.029356906,0.161020956,0.38660814,0.181994495,0.121678723
59,firms on alert for letter bombs,0.110630332,0.034081531,0.148743247,0.418868269,0.144781984,0.142894636
60,study africa s internet gap getting wider,0.115103962,0.028314942,0.129933763,0.386469701,0.222560023,0.117617609
61,siesta cuts risk of heart disease death study finds,0.133604955,0.011537422,0.224044438,0.302737114,0.122843829,0.205232242
62,spain ahead although nadal is out,0.122652194,0.030055392,0.177140939,0.260597676,0.256348692,0.153205106
63,runway making good without making nice,0.136718285,0.034721158,0.177109863,0.246787072,0.240561017,0.164102604
64,russia plans new icbms nuclear subs,0.13526124,0.052321743,0.216012906,0.367818273,0.087596599,0.140989239
65,no buyer in sight for napster,0.086018335,0.053743395,0.138907029,0.411441274,0.090506275,0.219383692
66,outcry at n korea nuclear test,0.091096051,0.002984965,0.184370687,0.304425354,0.237038501,0.180084442
67,ipod good for video games,0.047830897,0.045563491,0.079841799,0.528787944,0.069225049,0.22875082
68,taking the plunge,0.12027199,0.043812156,0.192604765,0.35735385,0.106626937,0.179330302
69,england include giles in wc squad,0.118590993,0.033847168,0.189900052,0.260193222,0.186731883,0.210736683
70,beyonce copyright claim rejected,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
71,london market a shopping dining haven,0.134333959,0.054915013,0.207761851,0.289267715,0.178162719,0.135558743
72,pm havana deal a good experiment,0.147901407,0.039924532,0.207765296,0.311883976,0.167079671,0.125445118
73,dozens killed in baghdad bombing,0.098945835,0.033401925,0.164046603,0.27935177,0.215337962,0.208915906
74,damaged japanese whaling ship may resume hunting off antarctica,0.140146925,0.044320952,0.173793109,0.34425551,0.144461903,0.153021603
75,un nuclear watchdog slashes iran aid,0.148049589,0.045692446,0.23092399,0.192016311,0.218606328,0.164711336
76,toyota s scion parks in second life,0.03699072,0.013475401,0.159862157,0.425731856,0.1744197,0.189520166
77,telecoms giant slashes jobs,0.123465107,0.030236851,0.191041312,0.223037488,0.2548055,0.177413742
78,canete wins inaugural joburg open,0.11601259,0.029402047,0.160439766,0.448451393,0.115815299,0.129878904
79,yahoo s mission quest,0.11877735,0.029171401,0.161349601,0.387014942,0.182293926,0.12139278
80,weekly nielsen will lost find its way back,0.117503442,0.029813751,0.155537356,0.286808087,0.258688817,0.151648546
81,u s online love brokers eye china,0.079902258,0.016110522,0.143278963,0.476402596,0.140260062,0.144045597
82,amish schoolhouse torn down,0.122412129,0.029982781,0.194457156,0.223421598,0.245266044,0.184460292
83,china cheney shores up the trilateral alliance,0.095979184,0.015474337,0.202573933,0.396660211,0.089305136,0.200007199
84,g yen skates by yuan singled out,0.123077416,0.030165242,0.177462976,0.234473822,0.257621902,0.177198643
85,friendly fire pilot experienced,0.0366,0.0854,0.3902,0,0.1707,0.3171
86,updates on world s top stories,0,0,0.6667,0,0,0.3333
87,diplomat acknowledges us arrogance in iraq,0.113535706,0.059847812,0.243675601,0.222673976,0.207501461,0.152765445
88,madonna s new baby s daddy didn t realize adoption was for good,0.041574836,0.036605773,0.094535296,0.45431007,0.169059396,0.203914629
89,appeal by chinese researcher for times may soon be heard,0.10323362,0.033904296,0.112854114,0.475481136,0.111268123,0.163258711
90,snowbirds shortening their florida stays,0.123306946,0.030208369,0.185355577,0.270189511,0.223849547,0.167090049
91,oxfam action needed for chad,0.102526418,0.033918108,0.111321056,0.452235087,0.107137628,0.192861703
92,bush adamant on troops to iraq,0.156522002,0.018648528,0.186260341,0.34208977,0.155235121,0.141244239
93,ukraine gas deal marred by fears,0.149120007,0.030055392,0.240061577,0.205228518,0.240125136,0.13540937
94,shoplifters choice police or t shirt of shame,0.140462243,0.05987478,0.2828951,0.233793369,0.125736958,0.15723755
95,travel chaos as heavy snow hits uk,0.137774456,0.052708216,0.222828569,0.24542717,0.174923358,0.16633823
96,tow truck drivers accused of stealing cars,0.118003206,0.049527999,0.198607179,0.231006528,0.255491799,0.147363289
97,joseph wambaugh s new start,0.081792812,0,0.134000066,0.519695259,0.128185213,0.13632665
98,human error caused helios crash,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
99,charts is your city lean or lethargic,0.117475018,0.029797692,0.189402707,0.259584483,0.189061886,0.214678214
100,st louis poised for entertainment upswing,0.123764233,0.034081254,0.152854791,0.418864865,0.117690283,0.152744575
101,ivrea journal in italian town a civics lesson from pelting neighbors,0.046028897,0.033907576,0.150302373,0.414320998,0.173011541,0.182428614
102,review virtual american idol hits right notes,0.099290835,0.02518525,0.131675681,0.457024679,0.105417547,0.181406008
103,squadron apologies over friendly fire death,0.142909496,0.072154046,0.226103795,0.152689334,0.243944728,0.162198601
104,the breast cancer breakthrough saving women a year,0.12033179,0.026367414,0.193757489,0.433631833,0.067137971,0.158773503
105,abbas rejects temporary state,0.140518556,0.035924138,0.231491723,0.223037488,0.210577586,0.158450509
106,iraqi forces detain official suspected in shia conspiracy,0.078811462,0.056590652,0.170561793,0.248665864,0.27649822,0.168872009
107,congressman rebukes u s allies for lack of support in afghanistan,0.097698204,0.040721675,0.18568104,0.325340149,0.176729617,0.173829316
108,easy ways to really save,0.107044827,0.00628069,0.142853189,0.389427625,0.149749241,0.204644428
109,real suffer carlos injury setback,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
110,marijuana may stave off alzheimer s,0.08198997,0,0.141267506,0.519738018,0.121901738,0.135102767
111,smokestacks in a white wilderness divide iceland,0.097871026,0.033864414,0.14805022,0.346474076,0.180023072,0.193717192
112,paris journal smoking no longer tres chic in france,0.121429918,0.047711663,0.16334808,0.260147122,0.204202915,0.203160302
113,cher s dress car bed have new owners,0.082269901,0.003332315,0.150492424,0.506845123,0.118981798,0.138078438
114,hungarian opposition calls for vote after violence escalates,0.133746665,0.03390824,0.128217033,0.432877578,0.11096905,0.160281435
115,freed kidnap suspect my terror at police raid,0.11195027,0.02126277,0.294683826,0.236468089,0.201611736,0.134023308
116,rockers big winners at brit awards,0.112926584,0.031785218,0.164346527,0.29244689,0.196570875,0.201923905
117,cia leak trial summary,0.123334559,0.030034663,0.209933016,0.245150307,0.225130001,0.166417454
118,experts issue new heart disease guidelines for women,0.075194988,0.050716145,0.119557123,0.498297236,0.109762077,0.146472431
119,in god s name religion based tax breaks housing to paychecks to books,0.065628148,0.021570558,0.090848728,0.403309789,0.120041161,0.298601616
120,snow causes transport chaos in britain,0.053435786,0.033757406,0.241256624,0.211768357,0.237608243,0.222173584
121,injured sarwan to miss one dayers,0.093498018,0.005223684,0.183293452,0.40105455,0.091333484,0.225596812
122,study napping might help heart,0.122014375,0.029891708,0.195073172,0.234252137,0.21228767,0.206480938
123,tailors and housewives busy as muslims celebrate eid,0.121769884,0.032458416,0.179198271,0.3196503,0.200718471,0.146204658
124,malaysia aggressively wooing tourists,0.125372278,0.030584726,0.22011993,0.221542081,0.243350056,0.159030929
125,creating a whole album in a month,0.055061508,0.04938644,0.191338697,0.297175137,0.251771701,0.155266518
126,wellcome awards anti fat research,0.123307983,0.078236467,0.178464795,0.223340679,0.237829431,0.158820645
127,can t do this anymore not jack,0.117023443,0.037190657,0.173543668,0.272476848,0.201623701,0.198141683
128,iran s boast on uranium enrichment is put to test,0.109403817,0.036250964,0.259513706,0.262345243,0.137826834,0.194659436
129,iraq closes borders with syria and iran,0.109104614,0.034221431,0.203995113,0.305222534,0.137326549,0.210129759
130,in clue to addiction brain injury halts smoking,0.059536292,0.03387833,0.16626242,0.332706666,0.198233189,0.209383103
131,manning inspires giants to victory in dallas,0.059007501,0.033538919,0.164949369,0.408247167,0.121559164,0.212697879
132,research supports medicinal marijuana,0.123465107,0.030236851,0.1791956,0.289139585,0.201482974,0.176479883
133,iraq insurgents attack us base,0.140297995,0.0426423,0.237592851,0.182586121,0.250413003,0.146467729
134,fire extinguisher part of tennessee execution kit,0.123015837,0.037621119,0.247186412,0.227352319,0.208139456,0.156684858
135,city sets up ice storm shelters,0.092410126,0.006058181,0.281672766,0.310546174,0.149502714,0.15981004
136,gently weeps lyrics sheet up for sale,0.123930484,0.034060327,0.152851771,0.418724247,0.117797299,0.152635871
137,cholesterol link in diabetes study,0.118538679,0.03382523,0.190306356,0.26021805,0.186563887,0.210547798
138,zoo polar bear to have root canal,0.106600478,0.006260386,0.145227647,0.45400458,0.119255853,0.168651056
139,howard slams obama on iraq policy,0.128197792,0.037207948,0.260647852,0.267620403,0.163944802,0.142381203
140,fight starts over hpv vaccine,0.161280448,0.066811305,0.182478878,0.241738485,0.153397376,0.194293509
141,obama announces presidential bid,0.135439681,0.053897607,0.172809894,0.279612769,0.223069394,0.135170656
142,another death at georgia aquarium,0.11731204,0.029402288,0.173415756,0.283747732,0.230911005,0.165211179
143,johnny depp to make movie of spy poisoning,0.089904716,0.002520988,0.179142201,0.450124897,0.102077456,0.176229742
144,pap test a mainstay against cervical cancer may be fading,0.160480189,0.048478339,0.195818383,0.309880987,0.149283825,0.136058276
145,boy allegedly told to kill by mom gives up,0.098363024,0.001768433,0.183147749,0.365260288,0.171819263,0.179641243
146,catania punished for fan violence,0.123553268,0.034107809,0.152858622,0.419043303,0.117554484,0.152882515
147,the summit a slap in the face of the palestinians,0.047861308,0.015993269,0.109600204,0.388260833,0.135208494,0.303075892
148,dead bachelors in remote china still find wives,0.057698781,0.023357599,0.229668991,0.285764918,0.202217473,0.201292238
149,boy missing since found alive,0.12201336,0.02989146,0.228920707,0.209492872,0.23045037,0.179231231
150,girl left comatose after dental visit dies,0.112554349,0.028567937,0.230760699,0.167525061,0.320410068,0.140181886
151,fine wines in british columbia,0.099082674,0.03443963,0.192043061,0.26021805,0.19881093,0.215405655
152,bollywood s brangelina engaged,0.11877735,0.029171401,0.161349601,0.387014942,0.182293926,0.12139278
153,north korea ready to discuss nuke disarmament,0.061760025,0.013757174,0.254709671,0.356403595,0.143413072,0.169956464
154,action intensity boosts vision,0.122638414,0.030034392,0.177995748,0.258777945,0.200133891,0.210419611
155,stonehenge workers village found,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
156,scientists tout cocoa s health benefits,0.114921723,0.028254184,0.130112072,0.42744969,0.147777445,0.151484886
157,can north korea be trusted,0.114027944,0.019399278,0.223378171,0.311006915,0.10359871,0.228588983
158,trailblazing trio protects city by the bay,0.096407972,0.015543468,0.191290861,0.414731007,0.089704108,0.192322584
159,ganguly handed india squad call up,0.12265322,0.030055644,0.179433808,0.257079147,0.243003923,0.167774259
160,beauticians cut curl offer stroke prevention info,0.123078449,0.030165495,0.213891357,0.261762385,0.205426175,0.165676139
161,studios sign off on movie downloads,0.117709378,0.031250896,0.238929831,0.339348748,0.152492043,0.120269103
162,global web of suspects in child rape download,0.092824437,0.081454129,0.191467145,0.310558848,0.123413863,0.200281578
163,libby prosecutors await judge s rulings,0.132830087,0.046589861,0.129470557,0.393935158,0.147048831,0.150125506
164,police probe church fires half mile apart,0.140091654,0.035839361,0.229637174,0.223757555,0.211335053,0.159339203
165,second hanging also went awry iraq tape shows,0.133782642,0.040513309,0.214375538,0.253180147,0.200763461,0.157384902
166,stepping back in time at ski resort,0.053209957,0.02258615,0.140215484,0.422880044,0.128102304,0.23300606
167,iraqi journalists add laws to list of dangers,0.096947455,0.001760678,0.185608174,0.427274221,0.112323619,0.176085854
168,boy scouts blamed for starting wildfire,0.123764233,0.034081254,0.152854791,0.418864865,0.117690283,0.152744575
169,report links humans to global warming,0.1070639,0.006285056,0.142417233,0.389698342,0.149748778,0.20478669
170,stenson defends his title at dubai,0.117363066,0.029472672,0.173170288,0.283901947,0.230922856,0.165169171
171,iraqi linked to sunni bloc is held in plot military says,0.082780326,0.035489016,0.219835627,0.243159429,0.165146733,0.253588869
172,china launches two satellites into orbit,0.121421317,0.029753771,0.187656533,0.260352789,0.199169571,0.201646019
173,north africa feared as staging ground for terror,0.102179477,0.033535026,0.191446367,0.412535321,0.119583327,0.140720482
174,breast cancer drug promises hope,0.126863422,0.030208623,0.190299448,0.241101063,0.214824144,0.196703301
175,mortar assault leaves at least dead,0.101280184,0.001033249,0.19615313,0.273064581,0.266377539,0.162091317
176,building a memorial to a son one child at a time,0.048437595,0.036361641,0.102197307,0.306650463,0.28310242,0.223250573
177,northeaster cancels flights shuts schools,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
178,india to test new nuclear missile,0.1070639,0.006285056,0.142417233,0.470309574,0.1198077,0.154116536
179,dell to cut bonuses trim management,0.105888334,0.006216046,0.140853485,0.392260005,0.148104529,0.206677601
180,uk workers on alert for letter bombs,0.079487938,0.053129536,0.166815901,0.416889831,0.149457982,0.134218812
181,storm leaves behind major travel troubles,0.125550305,0.034913691,0.224040348,0.223573319,0.226900972,0.165021364
182,rupert murdoch s secret tivo,0.089949458,0,0.134664834,0.353983159,0.199337699,0.22206485
183,house passes anti terrorism measure manila,0.12371506,0.030315843,0.178675988,0.29340056,0.202932039,0.170960509
184,genghis khan beer mongolia grimaces,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
185,youtube founders split m payout,0.120334598,0.029580887,0.162837534,0.21953295,0.24797343,0.2197406
186,former teacher poses for playboy,0.123553268,0.034107809,0.152858622,0.419043303,0.117554484,0.152882515
187,madonna files adoption papers in malawi,0.089614608,0.030994205,0.135925138,0.342261116,0.161881742,0.239323191
188,eye on cosmos is lost to short circuit on hubble,0.093470467,0.088470709,0.312604947,0.21531362,0.159606151,0.130534106
189,all african amputee football games kick off,0.112554349,0.028567937,0.123938584,0.420153759,0.085277275,0.229508097
190,forecasters expect toasty,0.124443404,0.030461458,0.181325821,0.291547936,0.202325187,0.169896194
191,corn stoves popping up in u s homes,0.078988727,0.023406216,0.186747811,0.389338279,0.157728929,0.163790039
192,chvez threatens to jail violators of price controls,0.093132852,0.001760678,0.178464463,0.44219452,0.098989848,0.18545764
193,scientists discover miracle in the depths,0.058963328,0.033679459,0.147701326,0.429899746,0.086366458,0.243389684
194,google unveils do it yourself search engine,0.118004189,0.033329864,0.184534003,0.222546898,0.193356467,0.24822858
195,ready to eat chicken breasts recalled due to suspected listeria,0.059877094,0.025204547,0.024214059,0.46277328,0.136210445,0.291720576
196,teen allegedly armed by mom turns self in,0.118665304,0.03387833,0.189322899,0.260157953,0.18697052,0.211004993
197,town packs gym to mourn killed in fire,0.06603044,0.01794295,0.213280411,0.293055651,0.204436897,0.20525365
198,cocoa could be antidote to age related diseases says new study,0.092711143,0.022243073,0.161506187,0.338880935,0.245906343,0.138752319
199,roundup protests erupt despite state of siege in guinea,0.067305113,0.05888713,0.213349646,0.3039171,0.169874196,0.186666815
200,bush authorized iranians arrest in iraq rice says,0.123944787,0.068513385,0.246996928,0.159327615,0.225706512,0.175510773
201,anglican and catholic churches could merge,0.121205724,0.032287203,0.177443097,0.303063946,0.194520915,0.171479116
202,cousin gunman was srebrenica survivor,0.124206921,0.047549745,0.20647362,0.181297357,0.229685494,0.210786864
203,australia tells bush to speed up guantanamo trial,0.093425058,0.001753632,0.171209401,0.446462283,0.10530489,0.181844735
204,european space agency,0.124443404,0.030461458,0.181325821,0.291547936,0.202325187,0.169896194
205,the secrets people reveal,0.120474765,0.043922557,0.192120031,0.357263094,0.10670612,0.179513433
206,news baby pandas baby pandas baby pandas,0.117930118,0.033465641,0.175064852,0.215206369,0.265422065,0.192910956
207,health canada issues advice on canned tuna,0.14608259,0.044397264,0.31717036,0.216345946,0.184275381,0.091728459
208,grammys ready to name winners,0.092304429,0.001742525,0.141042923,0.508494894,0.08112841,0.175286819
209,asean urges north korea resolution,0.114027944,0.012086785,0.223378171,0.362982728,0.10359871,0.183925662
210,rebels to join nepal parliament,0.107044827,0.00628069,0.142853189,0.389427625,0.149749241,0.204644428
211,rice u s won t pull plug on iraq,0.064633405,0.016074839,0.233577474,0.392976967,0.141606407,0.151130908
212,anglicans rebuke u s branch on same sex unions,0.064633405,0.016074839,0.233577474,0.392976967,0.141606407,0.151130908
213,somalia declares state of emergency,0.139930287,0.036184096,0.259706668,0.273945179,0.159135813,0.131097956
214,hussein co defendants executed,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
215,james brown s year old son left out of will,0.015520498,0.001321614,0.122457821,0.623508473,0.119919871,0.117271723
216,ms adds office to vista coupon program,0.106040481,0.006227499,0.140697587,0.38639915,0.151797958,0.208837325
217,britain to limit workers from romania bulgaria,0.115453179,0.011439913,0.149875794,0.420124387,0.132719214,0.170387512
218,us airways boosts bid for delta,0,0.1786,0,0.3214,0.0357,0.4643
219,hpv vaccination stirs heated debate in america,0.11863212,0.033864414,0.18958063,0.260173703,0.186863955,0.210885178
220,full recovery expected for marathon winner,0.054096334,0.033714618,0.159920077,0.493899931,0.114138356,0.144230684
221,beckham won t play again for real,0.077381065,0.041862848,0.137187427,0.486630391,0.106668097,0.150270171
222,cultural revolutionary the ipod is five,0.119414739,0.043582184,0.189408471,0.363728217,0.105640349,0.178226041
223,village buried by inches of snow,0.106214599,0.029509721,0.233656926,0.267318926,0.114938385,0.248361443
224,mountain glaciers melting faster united nations says,0.138080076,0.054499127,0.186238824,0.234923443,0.203276301,0.182982228
225,ice storm smacks roads power,0.129507963,0.036152054,0.325437855,0.162905667,0.225059401,0.12093706
226,ex border patrol agent beaten in prison,0.11863212,0.033864414,0.18958063,0.260173703,0.186863955,0.210885178
227,israel to install cameras to show live mughrabi footage,0.059809324,0.025160742,0.024225656,0.462851898,0.136195858,0.291756521
228,latest updates on world s top stories,0.089245485,0,0.284164732,0.326497539,0.147426208,0.152666035
229,lily allen wins web music award,0.116937835,0.029650495,0.161262908,0.431396393,0.116689901,0.144062469
230,rowling heartbroken euphoric at potter s end,0.019429232,0,0.099250843,0.464643152,0.260205145,0.156471629
231,hamas fatah leaders pledge to meet until they reach agreement,0.11041832,0.008966257,0.163459459,0.415120653,0.132477438,0.169557873
232,new vaccine for cervical cancer could prove useful in men too,0.069429189,0.049465318,0.124335864,0.470532731,0.080725814,0.205511082
233,mbeki world cup planning on track,0.117121267,0.029337479,0.255007075,0.292120768,0.143727517,0.162685893
234,money makeovers,0.124847932,0.03053706,0.182981981,0.290419474,0.201966238,0.169247314
235,punter charged with stabbing asks to live outside state,0.110345367,0.007381047,0.199432268,0.398294256,0.10082624,0.183720823
236,emi warns on profits boss goes,0.140165251,0.043431921,0.24389223,0.25027665,0.19595966,0.126274288
237,gunman fine before shooting,0.136225385,0.041618098,0.218213618,0.18443927,0.256509334,0.162994295
238,svindal claims are golden double,0.123307983,0.078236467,0.178464795,0.223340679,0.237829431,0.158820645
239,ethiopia readies for millennium all its own,0.123930484,0.034060327,0.152851771,0.418724247,0.117797299,0.152635871
240,mancuso sparks u s celebrations,0.13079415,0.016437473,0.133038178,0.431889919,0.148453824,0.139386457
241,nasa spacecraft to measure sun,0.107044827,0.00628069,0.142853189,0.389427625,0.149749241,0.204644428
242,teen repellent inventor wins infamous prize,0.116726779,0.02959698,0.160971853,0.369463302,0.180869999,0.142371086
243,peron held over s rights abuses,0.127514394,0.054761184,0.137996867,0.385755243,0.151064081,0.142908231
244,kim jong il bans japanese cars in north korea,0.066508413,0.025854606,0.198557293,0.350208109,0.129986988,0.228884592
245,canadians tracked in child porn ring,0.125326746,0.066653072,0.153292464,0.240204928,0.215050382,0.199472408
246,ryan o neal injured son s girlfriend,0.119532521,0.029420035,0.160909115,0.386469701,0.181892595,0.121776033
247,messi makes barcelona squad return,0.122717042,0.030063851,0.179190508,0.307350862,0.205571816,0.15510592
248,brith airways baggage charges cause confusion,0.12371506,0.030315843,0.178675988,0.29340056,0.202932039,0.170960509
249,a film star in kampala conjuring aminos ghost,0.097877118,0.03387833,0.147738293,0.346570946,0.180120709,0.193814604
250,opponent is put on the spot over remarks about clinton,0.086693105,0.020543132,0.204166943,0.391353366,0.110477567,0.186765887
251,apple set for massive market gains,0.122986285,0.031198534,0.097258478,0.458840409,0.111914363,0.17780193
252,vista s hyped security will be tested,0.097727031,0,0.167492011,0.417247073,0.207689322,0.109844564
253,dating difficult for harry potter,0.123553268,0.034107809,0.152858622,0.419043303,0.117554484,0.152882515
254,uk letter bombs may be from extremist drivers,0.161143562,0.06221773,0.173085708,0.289336984,0.210086452,0.104129565
255,bush vows cooperation on health care,0.12819674,0.033858349,0.26863312,0.280971273,0.156990389,0.13135013
256,baby born on turnpike after dad misses exit,0.117747829,0.036062569,0.271226863,0.186819875,0.244456976,0.143685889
257,parachutist dies at bridge jump festival,0.091439267,0,0.177756768,0.267772524,0.279597075,0.183434365
258,citing spy agencies study democrats seek iraq changes,0.138412277,0.04065748,0.234889811,0.190623192,0.219148515,0.176268725
259,airlines uk airport runway unsafe,0.138269445,0.04963411,0.186734788,0.235561157,0.220885411,0.168915089
260,man gets second chance at space ride,0.104414618,0.024868916,0.168308641,0.283919639,0.24862339,0.169864796
261,archaeologists find remains of couple locked in a hug,0.059669232,0.050545322,0.180518001,0.304729328,0.163630801,0.240907317
262,study detects a gene linked to alzheimer s,0.061647183,0.015238023,0.122960894,0.477520725,0.141781821,0.180851353
263,weight loss drug to be sold over the counter,0.034617031,0.021885054,0.0875556,0.580109885,0.089013997,0.186818434
264,zach braff says he has mild depression,0.123850707,0.04733304,0.16984186,0.234590488,0.272538286,0.151845619
265,apple warns itunes users to wait on vista,0.097833786,0.001678977,0.12817596,0.387478312,0.159878392,0.224954572
266,guy sweat is babe magnet,0.122718069,0.05025741,0.177611007,0.193864373,0.200838899,0.254710243
267,in egypt rice speaks softly,0.118538679,0.03382523,0.190306356,0.26021805,0.186563887,0.210547798
268,ex jonbenet suspect child porn case dropped,0.142576941,0.062346259,0.168763315,0.194342434,0.214183172,0.21778788
269,court tv accused killer tells jury a love story,0.132988939,0.03420542,0.182044755,0.364508667,0.160512966,0.125739252
